doubleclick.net,17
adition.com,15
google.com,13
googlesyndication.com,13
ivwbox.de,13
scorecardresearch.com,13
facebook.com,12
google-analytics.com,12
ioam.de,12
twitter.com,12
yieldlab.net,12
2mdn.net,10
nuggad.net,9
serving-sys.com,9
vgwort.de,9
gmads.net,8
krxd.net,8
ligatus.com,8
revsci.net,8
bizographics.com,6
plista.com,6
twimg.com,6
adform.net,5
adspirit.de,5
exelator.com,5
flashtalking.com,5
gstatic.com,5
optimizely.com,5
outbrain.com,5
veeseo.com,5
w55c.net,5
zanox.com,5
adscale.de,4
ajax.googleapis.com,4
chartbeat.com,4
chartbeat.net,4
googletagmanager.com,4
heias.com,4
mediaplex.com,4
mxcdn.net,4
qservz.com,4
refinedads.com,4
sascdn.com,4
t4ft.de,4
trgt.eu,4
webtrekk.net,4
360yield.com,3
adjug.com,3
advolution.de,3
brightcove.com,3
criteo.com,3
disquscdn.com,3
ebay.com,3
facebook.net,3
load.s3.amazonaws.com,3
meetrics.net,3
o2online.de,3
smartadserver.com,3
tribalfusion.com,3
1414.de,2
71i.de,2
adnxs.com,2
adscience.nl,2
akamaihd.net,2
aolcdn.com,2
atemda.com,2
contentspread.net,2
creative-serving.com,2
cxense.com,2
demdex.net,2
disqus.com,2
flattr.com,2
focus.de,2
fonts.googleapis.com,2
gartenxxl.de,2
google.de,2
googleadservices.com,2
googletagservices.com,2
googleusercontent.com,2
huffpost.com,2
iconist.de,2
llnwd.net,2
mathtag.com,2
metrigo.com,2
miisolutions.net,2
newrelic.com,2
ocm.de,2
paulparey.de,2
pubmatic.com,2
quality-channel.de,2
redintelligence.net,2
research.de.com,2
sitestat.com,2
sueddeutsche.com,2
tnm.de,2
urban-media.com,2
vine.co,2
visualrevenue.com,2
webmasterplan.com,2
wikifolio.com,2
xing-share.com,2
yahoo.com,2
ytimg.com,2
abmr.net,1
ad-srv.net,1
adrolays.de,1
adroll.com,1
adsafeprotected.com,1
adtech.de,1
advolution.biz,1
aol.com,1
ard.de,1
ariva.de,1
atdmt.com,1
atsfi.de,1
bahn.de,1
biallo1.de,1
bild.de,1
bluekai.com,1
cedexis.com,1
de17a.com,1
edgesuite.net,1
emediate.eu,1
etracker.com,1
etracker.de,1
everesttech.net,1
exactag.com,1
exponential.com,1
faz.net,1
fbcdn.net,1
fefe.de,1
handelsblatt.com,1
heise.de,1
huffingtonpost.com,1
huffingtonpost.de,1
imrworldwide.com,1
intelliad.de,1
intellitxt.com,1
ix.de,1
kaufdown.de,1
m-pathy.com,1
m6r.eu,1
meetic-partners.com,1
metalyzer.com,1
modomoto.de,1
mpnrs.com,1
mupads.de,1
n24.de,1
nakamitech.de,1
nanigans.com,1
newtention.net,1
newtentionassets.net,1
nt.vc,1
omtrdc.net,1
openx.net,1
org-dot-com.com,1
partner-bahn.de,1
plus.de,1
quantserve.com,1
quisma.com,1
reprize.de,1
rfihub.com,1
rubiconproject.com,1
sblk.io,1
semasio.net,1
sensic.net,1
spiegel.de,1
sueddeutsche.de,1
taboola.com,1
taboolasyndication.com,1
tagesschau.de,1
tagesspiegel.de,1
taz.de,1
tele2.de,1
teufel.de,1
tfag.de,1
tripodo.de,1
turn.com,1
twiago.com,1
vinsight.de,1
welt.de,1
westlotto.com,1
wildundhund.de,1
wtp101.com,1
wulffmorgenthaler.de,1
youtube.com,1
zeit.de,1